conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.82641E+18,Wed Aug 21 23:59:49 +0000 2024,0,good luck and please STAY SAFE everyone! may God with us #PeringatanDarurat #KawalKeputusanMK #TolakPolitikDinasti,1.82641E+18,,,en,rps-rant🔞🏳️‍🌈,0,0,0,https://x.com/ssunchldd/status/1826408900121559173,8.64096E+17,ssunchldd
1.82641E+18,Wed Aug 21 23:59:30 +0000 2024,1,#saveindonesia #PeringatanDarurat #bangkitkankesadaran https://t.co/ThOP23Uc8x,1.82641E+18,https://pbs.twimg.com/media/GVi1I3kWYAAZjd2.jpg,,qme,,0,0,0,https://x.com/DullahFirman/status/1826408821138620758,1.55218E+18,DullahFirman
1.82641E+18,Wed Aug 21 23:58:28 +0000 2024,14634,the government has been taken over by an entity #peringatandarurat #kawalkeputusanmk #rkgk https://t.co/KGo7e6NmGN,1.82641E+18,https://pbs.twimg.com/media/GVi05Z5aUAAkDde.jpg,,en,,114,88,5430,https://x.com/zetyadesu/status/1826408558466089052,1.3409E+18,zetyadesu
1.82641E+18,Wed Aug 21 23:58:24 +0000 2024,0,Buat siapapun yang ikut aksi perjuangan hari ini dimanapun itu please hati-hati jaga diri kalian dan orang disekitar kalian Bukan tanpa sebab karena ada residivis penculik yang sedang berkuasa Bismillah berjuang bersama rakyat pasti menang #KawalPutuskanMK #PeringatanDarurat,1.82641E+18,,,in,EARTH,0,0,0,https://x.com/madsyafari/status/1826408543551201788,7.27173E+17,madsyafari
1.82641E+18,Wed Aug 21 23:52:44 +0000 2024,0,Such a lavish life style you have there @kaesangp @erinagudono Look at this guys!! #PeringatanDarurat,1.82641E+18,,,en,,0,0,0,https://x.com/uberfunk/status/1826407115944329595,29174587,uberfunk
1.82641E+18,Wed Aug 21 23:51:51 +0000 2024,2,Gm Panjang umur perjuangan indonesia #kawalkeputusanMK #PeringatanDarurat,1.82641E+18,,,in,,0,1,0,https://x.com/kongneverdied/status/1826406894791262391,1.68415E+18,kongneverdied
1.82641E+18,Wed Aug 21 23:51:12 +0000 2024,1,#KawalPutusanMk #PeringatanDarurat,1.82641E+18,,,qht,"Ciledug, Indonesia",0,0,1,https://x.com/AdiSuratman14/status/1826406729988681925,1.33008E+18,AdiSuratman14
1.82641E+18,Wed Aug 21 23:49:58 +0000 2024,0,Bismillah 1 juta Massa kepung gedung Hewan Perwakilan Rakyat. selamat berjuang smg dilindungi dr hal2 yg tdk di inginkan. Peringatan Darurat #KawalPutusanMk #KawalPutusanMk #KawalPutusanMk #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat https://t.co/Ar9Syt8BX5,1.82641E+18,https://pbs.twimg.com/media/GViy9GfaEAA_WPm.jpg,,in,Indonesia,0,0,0,https://x.com/Bambong31Sukses/status/1826406421313073381,1.4773E+18,Bambong31Sukses
1.82641E+18,Wed Aug 21 23:48:57 +0000 2024,1,Peringatan darurat demokrasi dan pembegalan konstitusi oleh politikus kotor dpr Pray for Indonesia semoga negri ini diselamatkan dan dilindungi dari pemimpin-pemimpin yang dzolim. #PeringatanDarurat https://t.co/6ZDrpquNEc,1.82641E+18,https://pbs.twimg.com/ext_tw_video_thumb/1826406142161162240/pu/img/pWvIXmfWJx2cpZwp.jpg,,in,"ÜT: -6.382931,106.849376",0,0,0,https://x.com/mozztroo/status/1826406166387458059,102912829,mozztroo
1.82641E+18,Wed Aug 21 23:46:32 +0000 2024,0,Saya siap dan janji boikot jika putusan MK diabaikan tidak dilaksanakan sepenuhnya. #PeringatanDarurat,1.82641E+18,,,in,,0,0,0,https://x.com/Indonesia271910/status/1826405557076721810,1.73631E+18,Indonesia271910
1.8264E+18,Wed Aug 21 23:44:15 +0000 2024,0,Ajg sumpah nyesel bgt gw pernah dukung @PKSejahtera gw pikir kalian beda ternyata kalian sama saja #PeringatanDarurat #KawalPutuskanMK #TolakPilkadaAkal2an #TolakPolitikDinasti,1.8264E+18,,,in,Nomaden,0,0,0,https://x.com/joelpoetra/status/1826404980854849599,101852160,joelpoetra
1.8264E+18,Wed Aug 21 23:43:44 +0000 2024,0,@msaid_didu Semoga dg pengkhianatan pd banteng banteng siuman dan bergabung dg rakyat utk mengembalikan demokrasi yg sdh di acak2 mukidi. Aamiin #kawalkeputusanMK #PeringatanDarurat #TolakPolitikDinastiJokowi,1.8264E+18,,msaid_didu,in,"Kota Kinabalu, Sabah",0,0,0,https://x.com/wahyu_djanti88/status/1826404851972276510,8.94086E+17,wahyu_djanti88
1.8264E+18,Wed Aug 21 23:43:24 +0000 2024,7,Gedung DPR milik rakyat bukan milik orang2 rakus!! #kawalkeputusanMK #kawaldemokrasi #PeringatanDarurat https://t.co/atAqarcG0Q,1.8264E+18,https://pbs.twimg.com/media/GVixdNVbgAE4bN0.jpg,,in,,0,0,2,https://x.com/iyaiyalaahhh/status/1826404767486423103,1.58253E+18,iyaiyalaahhh
1.8264E+18,Wed Aug 21 23:43:23 +0000 2024,0,BERANJAK KOLONI BERAKHIR TIRANI #LawanPolitikDinasti #PeringatanDarurat https://t.co/imgNFFhU2x,1.8264E+18,https://pbs.twimg.com/ext_tw_video_thumb/1826404715531218944/pu/img/EbcTcyRROHvo2urw.jpg,,in,"Bandung Kulon, Indonesia",0,1,0,https://x.com/ardhanRa/status/1826404765179543690,176366743,ardhanRa
